companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Furukawa Electric Autoparts Philippines,4.0,PRODUCTION ENGINEER (FRESH GRADUATE OF ME / ECE / EE & IE),Binãn,"Graduate of BS ME / IE / EE / ECE FRESH GRADUATE ARE OPEN TO APPLY! With or without experience in manufacturing company Strong leadership abilities. Superb written and verbal communication skills. Ability to make decisions under pressure Great attention to detail and organizational skills. Willing to work on a shifting basis Render OT weekdays and weekends if required Supervising the manufacturing processes, ensuring quality work is done in a safe, efficient manner. Liaising with other engineers to develop plans that improve production, costs, and labor required. Diagnosing problems in the production line and providing recommendations and training. Opportunities for promotion Staff meals provided Transportation service provided 8 hour shift Shift system 13th month salary Overtime pay Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d11190ad&cb=1654778203377&jobListingId=1007662076726&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-af0f9dc6bf4cfbcb-
Jacobs,3.9,Flooding Engineer,Mandaluyong City,"Our People & Places Solutions business – reinforces our drive to improve the lives of people everywhere and epitomizes the ""why"" of what we do – the tremendous positive impact and value our solutions bring to our communities and society as a whole. From facilities delivering life-saving therapies and ensuring clean water to enabling the connection of people through all modes of transportation and providing access to technology – we're integrating a multitude of these solution elements to build the smart environments of tomorrow.

Start your Jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.

Your Impact:
As one of the world’s most value resources, our team is solving some of the world’s most complex water issues. Whether it’s treating, distributing or storing water, Jacobs reaches across boundaries and collaborates to successfully deliver customized innovative solutions. We provide you the means and tools to work on a wide variety of interesting and challenging projects to grow your career and help protect this valuable resource.
We are looking for a highly qualified and broadly experienced professionals to build on our existing strong capability in the Water Sector market in the Philippines and across Asia. Jacobs People & Places Solutions Water Sector business continues to rapidly grow to meet the needs of our clients who are investing in new solutions and associated infrastructure across the Philippine and Asia region, and we are looking for strong water focused professionals to take us to the next level of sustained business growth, outstanding culture for our people, and quality delivery for our clients. These positions are based the Philippines.
At Jacobs, our Water Sector team is geared towards providing a more integrated approach offering end-to-end service to support our clients in all aspects of the water business. We are helping our clients meeting the challenges faced in countries and cities across the globe, providing innovative solutions for water resources and ecosystems management, wastewater, drinking water and reuse and conveyance & storage to developing demand-side management strategies.
As part of this growing demand, we seek water professionals to deliver innovative solutions to our clients. As part of an interconnected team, you will be focused on delivering services in the water sector as a consultant for key project development and execution phases, including feasibility studies, conceptual design, project development services, technical due diligence, project management consultancy and project execution phases, as well as involvement in winning and delivering new projects across the Philippine and Asia region.
Key elements of these roles include. Projects – Preparation and delivery of consulting, engineering design and associated works, to high standards of quality, on time and on budget. Prospects and Proposals – Support the sales team and Water Section Leader in the pursuit of prospects with target clients, collaborating in the preparation of proposals for individual opportunities. People – Work efficiently in a multidisciplinary environment, maintaining and developing, as appropriate, positive relationships with clients and colleagues.
Here’s What You’ll Need:
Preferably Degree in Civil Engineering, preferably with some additional training in project management techniques; Relevant experience in the design and construction of water resources / water infrastructure projects. Previous experience on reservoir, dam and/or coastal projects is desired.
What you need. Relevant design experience in the water sector. Consultancy experience in delivering complex engineering projects in the Philippines and / or Asia and demonstrated ability to operate in a multi-disciplinary team. Core knowledge of development cycle for projects and opportunities in the water sector. Actively promote and demonstrate a strong safety culture in project design and working environment.
Cross sector knowledge outside the water sector and an ability to leverage past experiences to provide client confidence in delivery. Liaison with internal and external clients, authorities, and other design consultants. Contribute to client management for selected key clients as requested in co-ordination with the appropriate sales team and Water Section Leader. Team player with good inter-personal skills, attentive to detail, organised and structured and with initiative and enthusiasm. A strong work ethic and “can do” responsive attitude are paramount as is a strong ethic and ability “to get the job done” properly, professionally, cost effectively and to, crucially, meet deadlines.
Jacobs. A world where you can.
From our inclusive employee networks to our positive mental health champions – we’re committed to driving a culture of caring where you can be you. Joining Jacobs not only connects you locally but globally - and together, our diverse perspectives and unique backgrounds power our collective strength. We collaborate and share! By supporting one another, we all succeed.
With safety and flexibility always top of mind, we’ve gone beyond traditional ways of working so you have the support, means and space to maximise your potential. You’ll uncover flexible working arrangements, benefits and opportunities to do good too – from participating in our global giving and volunteering program, to exploring new and inventive ways to help our clients make the world a better place. No matter what drives you, you’ll discover how you can cultivate, nurture and achieve your goals – all at a single global company.
Start your Jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.
Please note: If you are being represented by a recruitment agency you will not be considered, to be considered you will need to apply directly to Jacobs.
#WATERPH #ASIAID #PHREC #ASIAWaterResources #ASIAWaterEngineering #ASIAWaterShow more ",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_571baea2&cb=1654778203373&jobListingId=1007897541477&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-935350f5cb4b5df4-
"Primus @ Knowledge Specialists, Inc.",3.0,Microwave Engineer,Taguig,Bachelor's Degree in Electronics and Communication Engineering or any related field At least 2 years experience as microwave engineer Must have experience working/handling microwave project/equipment Preferably with experience in telecommunication industry Good communication skills Health insurance Life insurance Monday to Friday 13th month salary Overtime pay Quarterly bonus Bachelor's (Preferred) microwave: 1 year (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6a7029a5&cb=1654778203377&jobListingId=1007800058395&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-8d14ceeb8e80c2f5-
Manly Plastics,4.1,Cadet Engineer,Valenzuela,"
Candidate must be a graduate of BS Industrial Engineering, BS Electrical Engineering, BS Electronics and Communication Engineering, and BS Mechanical Engineering. 
With or without work experience. 
With high sense of responsibility. 
Can work with minimum supervision. 
Willing to have shifting schedule.",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_74cdfe8c&cb=1654778203374&jobListingId=1006607946947&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-d4d46020071d3390-
The Emirates Group,4.0,LICENSED AIRCRAFT ENGINEER III,Manila,"Job Purpose: To carry out and ensure that routine maintenance tasks and defect rectification of aircraft is carried out in accordance with laid down procedures and regulations. Job Outline: - Generic: BUSINESS OBJECTIVE: To carry out aircraft maintenance/servicing tasks compliant to manufacturers & local safety procedures. Ensure that the assigned zones/aircraft are maintained IAW the documentation issued by approved authorities ensuring compliance is maintained to the latest revisions. This is applicable to all Technical Publications e.g. Aircraft documentation, Technical Notices, Quality Notices, Engineering Procedures Manual etc. Staff must ensure their personal approval/licensing requirements are valid and applicable to aircraft types worked through close liaison with Quality Assurance/GCAA. Audit process and procedures to ensure the highest level of maintenance is achieved with the resources available. Ensure prompt attendance to all allocated aircraft arrival/departures with the intent to maximize the opportunities during ground time and avoid operational delays/disruptions. - COST CONTROL: Ensure all off-aircraft tasks i.e. spares handling, robberies, hold items...etc. are handled strictly IAW Company procedures and all the relevant paperwork is actioned in a way that provides full transparency to all involved. Determine that any tooling/equipment used is serviceable and appropriate for the task and should be able to understand and use specialized tooling where required. Robbery procedures used as a method to reduce costs and ensure a right-first-time pocket of good practice is formulated to ensure costs are reduced by avoiding multiple attempts to rectify defects. Ensure trouble shooting follows laid down procedures and all tools used to ensure that fault rectification is carried out in the most expedient and cost effective manner. To ensure that effective and efficient use of ordering of spares/ materials takes place and that as a result DBNUs are reduced to zero. - RESOURCES: Ensure resources and manpower available is supportive of the business needs allowing targets/milestones set to be adequately met. To carry out any component changes as is necessary as part of the troubleshooting process and as directed by immediate supervisor. This will include the ability to obtain and understand AMM, IPC, or other Manufacturer/vendor documentation required to carry out the task. Ensure that available resources are utilised fully to meet the business needs. - SAFETY: Ensure that all activities performed and personnel responsible for are closely monitored to ensure the best possible application of safety rules and regulations are applied ensuring full understanding and adherence to Company procedures. Staff must highlight deficiencies/ requirements (whether for aircraft or hangar use) through the effective use of reporting tools in support of the overall quality improvement process and actively participate in propagating and enhancing the Group safety culture. Participate and promote in creating a safety culture in an effort to minimize accidents and highlight deficiencies/failures that can lead to such accidents. Ensure all work locations are kept clean and excellent housekeeping conditions are maintained. To avoid FOD, will be vigilant in ensuring work areas (including the ramp), vehicles, stands, lockers and toolboxes are all kept clean. Responsible of being fully conversant with airport safety regulations including, holding and maintaining an airport driving permit. Should be fully conversant with airport manoeuvring area requirements and be able to fully comply. - COMMUNICATIONS: Establish effective up-down rapport with Manager, Senior Engineers and sub-ordinates to maintain a seamless flow of information to highlight/detect and address any scenarios/events that might be disruptive to the operation. Ensure all relevant reports pertaining to issues of service delays, incidents and accidents, are completed in detail identifying all elements leading up to events. This includes completion of the necessary documentation including all relevant information that will allow rectification of defects by concerned sections through short-term maintenance planning. Additional reviews of all other activities/actions must be performed to allow process improvements to be implemented as necessary. - HR REVIEWS: Responsible for conducting performance reviews for staff under their direct control through the fair and just application of the Performance Matters! tool. Deficiencies or inability to meet objectives/competencies must be highlighted during interim reviews and an agreed course of action implemented to improve/correct any issues identified. Each to be effective in guiding/coaching/counselling junior staff assigned to their team, including National and Expat Trainees, ensuring action and development plans are in place to address any areas of concern. Ensure all staff allocated to him/her and themselves efficiently clock on/ clock off Job cards in the process of performing their usual duties. Must be available to assume duties and responsibilities of shift manager/senior engineer shift whenever delegated by the section manager. - TRAINING: Attend training modules as and when required by the Company to enhance skills and understanding that will benefit the business. Required to undergo recurrent Human Factors Training, to comply with CAR 145 requirements every 2 years. Ensure that any training courses attended are turned into approvals as required within 3.5 months from completion of attended course. - ADAPTABILITY (Specific to EK engineering): Be available to be deployed anywhere throughout the EK operation including diversionary airfields to assist in the recovery process of an AOG (Aircraft on Ground), and/or the aircraft/component manufacturers' facilities to act as EK Rep. to oversee the final assembly of Emirates' new aircraft, supervise any outsourced maintenance work and assisting in the acceptance/delivery process. Also available for postings to outstations to support the needs of EK operations.
Qualifications & Experience: Engineering.Other : : National / Higher National Diploma (12+2 or equivalent) or Apprenticeship in Mechanical, Electronic, Avionics or Aeronautical Engineering or equivalent training with a reputable airline or an approved maintenance organisation. Must have UAE GCAA/ ICAO Type II/ EASA 66 licence type rated in at least 1 Emirates aircraft type. 7+ years in aviation maintenance environment as an Aircraft Technician with a reputable airline or Aircraft Maintenance Organisation. Knowledge/skills: Fully conversant with Air Legislation and legal matters that relate to the operation and maintenance of aircraft to international standards. Safety Sensitive role- Yes Details of Safety Sensitive role ENA Working at height Yes Exposure to hazardous energy systems Yes Heavy lifting Yes Working in areas with motorised mobile equipment Yes Work in confined spaces Yes Contact with contaminations materials (Humans/Animals/Chemicals) Yes Contact with dangerous good Yes Work in an extremely noisy environment Yes Work in heat Yes Working with pressurised substances Yes Exposure to fixed protruding sharp objects Yes Exposure to contact with moving/falling objects Yes Airport driving permit Yes Other ( please specify)
Salary & Benefits: Join our growing team and enjoy a competitive remuneration package, discounts on flights and hotel stays.Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&cs=1_565b874e&cb=1654778203372&jobListingId=1007916277181&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-034701f090c25ee8-
"Farahi Law Firm, APC",1.0,Forensic Engineer-Accident Reconstructionist,Pasig City,"Conduct investigations of accidents, such as motor vehicles and crash scenes as needed. Conduct investigations of accidents and perform failure analysis involving various types of vehicles and mechanical equipment involved in incidents. Perform accident reconstruction or failure analysis of mechanical equipment or components. Prepare concise written reports of analysis and conclusions. Authors high-quality technical reports. Investigate the design, safety, and failure of mechanical systems and machinery. Present at technical meetings. Confers with colleagues to provide technical advice and resolve problems. At least 2 years of relevant experience, preferably including experience in consulting and/or testifying. Must have a high level of analytical skills. Work requires continual attention to detail with the ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to communicate effectively, excellent written and verbal communication skills. Ability to write technical reports concerning inspections, documentations, literature and opinions. Professional and highly motivated, dependable and conscientious demeanor. The ability to work at a fast-pace in a team environment and independently. Project management and supervisory experience highly desired. Strong organizational skills and ability to manage several projects simultaneously. Proficiency in statistics. Attention to detail. Strong analytical and field inspection skills. Paid training Pay raise Work from home 8 hour shift Monday to Friday Night shift 13th month salary Anniversary bonus Bonus pay Overtime pay Accident Reconstructionist: 2 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bb2c31ab&cb=1654778203372&jobListingId=1007720624334&cpc=6BF42D0955AE9A34&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-4d2ff5985bd3c32b--6NYlbfkN0Dc81KM_91oJRYK8Jt1yVdX4WGwoFqbRS14g3W_TuxOY8wy2lZfDYlaxvN2H1rhlAZglV75BXRmqKtOBXuPdwk8VX29c9JKd6h8a1n5gb6wJQCzsLKipk3QkdiK6wUDUwJ6KvXB-Qu-UAeOkeaHuotUiedCnTzwGCCkCywG061vROipuzmnqf_9SWkqyEfeAxhh6RXG24oNiEM2zNsCdmPe-p7CeaiYcYnknO6_4GB_FAtVbM9-DtqkM_75HB199kUunD-OT46a3R4sBuztzBAOURsbTd_ofAE29fnZfQof3UEmQja2Dmw7OA3mmmBARJVXt3I-BlwI7qyVP0mtKoRC5NXJpI9KliCS5DQbgR_cdunmRepq21n1vxcD_fBTGjHTYUd5Q5Rw2lQebt5Bx6hi25yXW_yqb7nYcXdrxrk3nH3bPn0o5SJ0YdhnggIgB4XMrKJlrFmjvDmRXaPOnUKRodHiZVl0k6wCg82loeMAtfx2bkWgNOANfdzQBLZ0ciBJlHkzOz_OUxNgP6sfTiPrlcekuABcRAw%3D
LPJ,4.6,Design Engineer,Muntinlupa,"Hybrid work arrangement by May Shift schedule is 7:00AM to 4:00 PM Morning schedule with weekends off HMO benefits upon hire Responsible for proposal and project utility PV design Energy Analysis Prepare early-stage site plans, site topographic analysis and array layout Develop internal standards, processes and templates 2+ years in utility scale PV, optimizing designs and maximizing the values of utility scale solar projects Proficient at drafting using Autocad, Civil 3D, Satellite Imaging Map Tools, Microsoft Office Degree or work experience in Engineering, Architecture or Construction related field. 8 hour shift 13th month salary Commission pay Overtime pay",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c07c1e7b&cb=1654778203376&jobListingId=1007901426913&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-3a267d316c213539-
FIRST GEN POWER CORP,NA,Mechanical Engineer,Santo Tomas,"Research, design, develop, build, and test mechanical and thermal devices, including tools, engines, and machines. Design, assessing and measuring the performance of mechanical components, devices, and equipment Maintaining and modifying equipment to ensure that it is safe, reliable, and efficient Using computer-aided design/modelling software Producing and implementing designs and test procedures Testing, evaluating, modifying, and re-testing products Writing reports and documentation Providing technical advice Analyzing and interpreting data on the mechanical aspect Contributes to team effort by accomplishing related results as needed. Additional leave Company Christmas gift Health insurance Life insurance Opportunities for promotion Paid training Promotion to permanent employee 8 hour shift 13th month salary Santo Tomas, Batangas: Reliably commute or planning to relocate before starting work (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_be3d0168&cb=1654778203373&jobListingId=1007920593809&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-16607bb8093b811d-
AVLON Inc.,NA,GET (Graduate Engineer Trainees) Batch 4,Quezon City,"Graduate of Mechanical Engineering Fresh graduates are welcome to apply MS Word, MS Excel and MS Power point is mandatory Willing to work extended hours, weekends and holidays. Willing to be assigned in Quezon City. Ensuring project packages meet agreed specifications, budgets and/or timescales liaising with clients, subcontractors, Supplier and other professional staff Preparing Project reports and other paperwork Manage the site on a day-to-day basis. Can work under pressure and with deadlines 8 hour shift",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_09a2c094&cb=1654778203372&jobListingId=1007712017713&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-4073ddc52d685a79-
D.L. CERVANTES CONSTRUCTION CORP.,NA,Project Engineer,Manila,Health insurance Life insurance Paid training 8 hour shift 13th month salary Overtime pay Performance bonus Manila: Reliably commute or planning to relocate before starting work (Required) Bachelor's (Preferred) Project Engineer: 1 year (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000018148778ba0826f1bdbbb70ee05&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_30e1d3a6&cb=1654778203375&jobListingId=1007855572968&jrtk=3-0-1g547f2umr0ku801-1g547f2v3r16n800-b6b6300ba331c389-
